CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"6670","SOCL 491","1","Practicum in Sociology","3","","Pra","","","ARR ","Timmer, Andria","0","Closed",
"6671","SOCL 492","1","Readings in  Sociology","1 - 3","","Ind","","","ARR ","Orr, Rebekah; Finn, John","0","Closed",
"6618","SOCL 501","1","Multicultural Diversity &amp; Educ","3","","Lec","W","1900-2145","LUTR 264","Waldron, Linda","0","Closed",
"6621","SOCL 501","2","Multicultural Diversity &amp; Educ","3","","Lec","R","1630-1915","LUTR 264","Waldron, Linda","3","Open",
"6672","SOWK 201","1M","Intro to Soc Work &amp; Soc Welf","3","","Lec","TR","1800-1915","LUTR 242","Valutis, Stephanie","4","Open",
"6673","SOWK 210","1","Human Behavior I","3","  AIII","Lec","TR","1930-2045","LUTR 242","Valutis, Stephanie","3","Open",
"6674","SOWK 301","1","Social Work Practice I","3","","Lec","TR","1330-1445","LUTR 264","Russett, Jill","8","Open",
"6680","SOWK 301L","1","Prac I Lab and Jr Field Inst","2","","Lab","TR","0930-1215","LUTR 170","Russett, Jill","8","Open",
"6675","SOWK 393","W1","WI: Methds of Soc Work Resrch","3","  AIIF  WI","Lec","TR","0800-0915","LUTR 167","Griffiths, Diane","6","Open",
"6676","SOWK 401","1","Field Instruction I","6","","Pra","M","1200-1350","LUTR 111","Griffiths, Diane","0","Closed",
"6677","SOWK 401","2","Field Instruction I","6","","Pra","W","1200-1350","LUTR 111","Griffiths, Diane","0","Closed",
"6678","SOWK 401","3","Field Instruction I","6","","Pra","W","1200-1350","ARR ","Russett, Jill","0","Closed",
"6679","SOWK 403","1","Social Work Practice III","3","","Lec","MWF","1500-1550","LUTR 170","Griffiths, Diane","2","Open",
"7514","SPAN 101","1R","Beginning Spanish I","3","","Lec","MWF","0800-0850","MCM 257","Shaw, Stephen","0","Closed",
"7515","SPAN 101","2R","Beginning Spanish I","3","","Lec","MWF","0900-0950","FERG 207","Edery, Ingrid","0","Closed",
"7516","SPAN 101","3R","Beginning Spanish I","3","","Lec","MWF","1000-1050","FERG 207","Edery, Ingrid","0","Closed",
"7517","SPAN 101","4R","Beginning Spanish I","3","","Lec","TR","0800-0915","MCM 257","Shaw, Stephen","0","Closed",
"7969","SPAN 101","VTC","Beginning Spanish I","3","","Lec","",""," ","","0","Closed",
"7518","SPAN 102","1","Beginning Spanish II","3","","Lec","MWF","1300-1350","MCM 262","Varo Varo, Alonso","0","Closed",
"7519","SPAN 102","2","Beginning Spanish II","3","","Lec","MWF","1400-1450","MCM 262","Edery, Ingrid","4","Open",
"7529","SPAN 200","10R","Eff Comm in Spanish","3","  LLF","Lec","MW","1800-1915","MCM 362","Freeman, Donna","1","Open",
"7530","SPAN 200","11R","Eff Comm in Spanish","3","  LLF","Lec","TR","0800-0915","MCM 164","Caballero, Sandra","0","Closed",
"7531","SPAN 200","12R","Eff Comm in Spanish","3","  LLF","Lec","TR","0930-1045","MCM 164","Gordon, Rocio","2","Open",
"7532","SPAN 200","13R","Eff Comm in Spanish","3","  LLF","Lec","TR","1100-1215","MCM 216","Miller, Elaine","3","Open",
"7534","SPAN 200","15R","Eff Comm in Spanish","3","  LLF","Lec","TR","1330-1445","MCM 312","Miller, Elaine","0","Closed",
"7535","SPAN 200","16R","Eff Comm in Spanish","3","  LLF","Lec","TR","1500-1615","MCM 114","Grau, Michelle","0","Closed",
"7536","SPAN 200","17R","Eff Comm in Spanish","3","  LLF","Lec","TR","1630-1745","FORBES 3014","Jelambi, Graciela","3","Open",
"7537","SPAN 200","18R","Eff Comm in Spanish","3","  LLF","Lec","TR","1630-1745","MCM 260","Morales-Diaz, Marisol","5","Open",
"7538","SPAN 200","19R","Eff Comm in Spanish","3","  LLF","Lec","TR","1800-1915","MCM 260","Morales-Diaz, Marisol","2","Open",
"7520","SPAN 200","1R","Eff Comm in Spanish","3","  LLF","Lec","MWF","0900-0950","MCM 314","Deller, Camelia","2","Open",
"7539","SPAN 200","20R","Eff Comm in Spanish","3","  LLF","Lec","TR","1800-1915","FORBES 3014","Jelambi, Graciela","0","Closed",
"7521","SPAN 200","2R","Eff Comm in Spanish","3","  LLF","Lec","MWF","1100-1150","MCM 162","Deller, Camelia","2","Open",
"7522","SPAN 200","3R","Eff Comm in Spanish","3","  LLF","Lec","MWF","1300-1350","MCM 360","Deller, Camelia","3","Open",
"7523","SPAN 200","4R","Eff Comm in Spanish","3","  LLF","Lec","MWF","1400-1450","MCM 160","Davis, Mark","0","Closed",
"7524","SPAN 200","5R","Eff Comm in Spanish","3","  LLF","Lec","MWF","1400-1450","MCM 360","Pretah, Jennifer","2","Open",
"7525","SPAN 200","6R","Eff Comm in Spanish","3","  LLF","Lec","MWF","1500-1550","MCM 207","Davis, Mark","2","Open",
"7526","SPAN 200","7R","Eff Comm in Spanish","3","  LLF","Lec","MWF","1500-1550","MCM 257","Pretah, Jennifer","1","Open",
"7527","SPAN 200","8R","Eff Comm in Spanish","3","  LLF","Lec","MW","1600-1715","MCM 216","Davis, Mark","0","Closed",
"7528","SPAN 200","9R","Eff Comm in Spanish","3","  LLF","Lec","MW","1600-1715","MCM 362","Freeman, Donna","0","Closed",
"7540","SPAN 201","1R","Intermediate Spanish I","3","  LLF","Lec","MWF","1100-1150","MCM 362","Valdez, Elena","7","Open",
"7541","SPAN 201","2R","Intermediate Spanish I","3","  LLF","Lec","MWF","1200-1250","MCM 362","Valdez, Elena","4","Open",
"7542","SPAN 201","3R","Intermediate Spanish I","3","  LLF","Lec","MWF","1300-1350","MCM 312","Edery, Ingrid","7","Open",
"7543","SPAN 201","4R","Intermediate Spanish I","3","  LLF","Lec","MWF","1400-1450","MCM 210","Valdez, Elena","4","Open",
"8023","SPAN 201","VTC","Intermediate Spanish I","3","  LLF","Lec","",""," ","","0","Closed",
"7544","SPAN 202","1","Intermediate Spanish II","3","  LLF","Lec","MWF","0900-0950","MCM 162","Valdez, Elena","5","Open",
"7545","SPAN 301","1","Grammar and Composition","3","  LLF","Lec","MWF","1400-1450","MCM 164","Varo Varo, Alonso","5","Open",
"7547","SPAN 301","3","Grammar and Composition","3","  LLF","Lec","TR","0930-1045","MCM 366","Velardi, Danielle","2","Open",
"7548","SPAN 301","4","Grammar and Composition","3","  LLF","Lec","TR","1100-1215","MCM 366","Velardi, Danielle","0","Closed",
"7549","SPAN 308","1","Conversation via Cinema","3","  LLF","Lec","MWF","0900-0950","MCM 316","Varo Varo, Alonso","4","Open",
"7550","SPAN 308","2","Conversation via Cinema","3","  LLF","Lec","",""," ","","0","Closed",
"7551","SPAN 314","1","Business Spanish","3","  LLF","Lec","TR","1330-1445","MCM 216","Velardi, Danielle","12","Open",
"7552","SPAN 321","1","Techiques of Translation","3","  LLF","Lec","TR","0930-1045","FERG 208","Finley, Sarah","8","Open",
"7553","SPAN 321","2","Techiques of Translation","3","  LLF","Lec","TR","1500-1615","FORBES 3014","Finley, Sarah","6","Open",
"7554","SPAN 353","1","Intro to Spanish Literature","3","  AIWT  LLF","Lec","MWF","1200-1250","MCM 164","Davis, Mark","1","Open",
"7555","SPAN 471","1","Hispanic Visual Culture &amp; Arts","3","  AICE  LLF","Lec","TR","1100-1215","FERG 208","Finley, Sarah","11","Open",
"7948","SPAN 490","1","Practicum","3","  LLF","Int","",""," ","","0","Closed",
"6597","SPAN 538","1","Apprenticeship in Teaching","3","  LLF","Pra","",""," ","","5","Open",
"6581","TCHG 510","1","Internship","8","","Int","MTWRF","0800-1550"," ","Hawkins, Marilee","1","Open",
"7944","TCHG 510","2","Internship","8","","Int","MTWRF","0800-1550","ARR ","Timmer, Dale","3","Open",
"6582","TCHG 518L","1","Secondary Field Practicum","1","","Pra","M","1500-1550","MCM 314","Farina, Deborah","0","Closed",
"6583","TCHG 518L","2","Secondary Field Practicum","1","","Pra","W","1500-1550","MCM 314","Hawkins, Marilee","6","Open",
"7911","TCHG 599","1","Ind St: Technology for Teachrs","1 - 6","","Ind","",""," ","","0","Closed",
"7050","THEA 130","1","Private Voice","1 - 2","","Lec","","","ARR ","Ironmonger-Mann, Constance","0","Closed",
"7051","THEA 130","2","Private Voice","1 - 2","","Lec","","","ARR ","Mooney, Chris","0","Closed",
"7052","THEA 150","1","Drawing &amp; Drafting for Stage","3","  AICE","Lec","TR","1500-1615","FERG 222","Hillow, George","4","Open",
"7055","THEA 200L","1","Arts Administration Practicum","1","","Pra","W","1600-1650","FERG 223","Godwin, Laura","4","Open",
"7056","THEA 210","1M","The Dramatic Impulse","3","  AICE","Lec","MWF","0900-0950","FERG 221","Marshall, Dale","2","Open",
"7057","THEA 210","2M","The Dramatic Impulse","3","  AICE","Lec","MWF","1300-1350","FERG 221","Godwin, Laura","1","Open",
"7058","THEA 210","3M","The Dramatic Impulse","3","  AICE","Lec","TR","1100-1215","FERG 221","Gillman, Denise","4","Open",
"7808","THEA 210","4M","The Dramatic Impulse","3","  AICE","Lec","MWF","1400-1450","FERG 210","Godwin, Laura","3","Open",
"7059","THEA 230","1M","Pract Act:Brdway to Boardroom","3","  AICE","Lec","MW","1600-1715","FERG T107","Insley, Amy","1","Open",
"7060","THEA 230","2F","Pract Act:Brdway to Boardroom","3","  AICE","Lec","MW","1430-1545","FERG T107","Insley, Amy","0","Closed",
"7822","THEA 230","3M","Pract Act:Brdway to Boardroom","3","  AICE","Lec","TR","0930-1045","FERG T107","Stetkevych, Julian","1","Open",
"7061","THEA 233","1","Acting II","3","","Lec","MW","1100-1215","FERG T107","Stetkevych, Julian","0","Closed",
"7062","THEA 250","1M","Scene Design and Technology","3","  AICE","Lec","MW","1100-1215","FERG 223","Marshall, Dale","0","Closed",
"7063","THEA 250L","1","Backstage Practicum","1","","Lab","MTWRF","1900-2300","ARR ","Sweet, Tanya","0","Closed",
"7068","THEA 252","1","Costume Design and Technology","3","","Lec","MW","1100-1215","FERG 222","Jaremski, Kathleen","1","Open",
"7069","THEA 258","1","Makeup for the Theater","3","","Lec","MW","0930-1045","FERG 222","Jaremski, Kathleen","10","Open",
"7070","THEA 310","1","Theater History I","3","","Lec","MWF","1000-1050","FERG 221","Godwin, Laura","0","Closed",
"7071","THEA 332","1","The Actor&#39;s Voice","3","","Lec","MW","1300-1415","FERG T107","Stetkevych, Julian","5","Open",
"7073","THEA 338","1","Intro to Stage Combat-Unarmed","3","","Lec","TR","1100-1215","FERG T107","Lloyd, Gregg","6","Open",
"7085","THEA 353","1","Scene Painting","3","","Lec","TR","1100-1215","FERG 223","Sweet, Tanya","9","Open",
"7795","THEA 356","1","Lighting Design","3","","Lec","",""," ","","0","Closed",
"7075","THEA 380","1","Production","0 - 3","","Pra","MTWRF","1900-2300","FERG T107","Insley, Amy","0","Closed",
"7078","THEA 380","2","Production","0 - 3","","Pra","MTWRF","1900-2300","FERG T107","Lloyd, Gregg","0","Closed",
"7087","THEA 431","1","Styles of Acting","3","","Lec","TR","1500-1615","FERG T107","Gillman, Denise","5","Open",
"7086","THEA 451","1","Stage Management","3","","Lec","TR","0930-1045","FERG 223","Sweet, Tanya","11","Open",
"7088","THEA 461","W1","WI: The One-Act Play","3","  WI","Lec","TR","1330-1445","FERG 221","Gillman, Denise","7","Open",
"7081","THEA 491","1","Theater Practicum","1 - 3","","Pra","","","ARR ","Sweet, Tanya","2","Open",
"7083","THEA 492","1","Arts Admin Internship","3","","Int","","","ARR ","Godwin, Laura","4","Open",
"7084","THEA 498","1","Thesis Project","3","","Ind","","","ARR ","Sweet, Tanya","9","Open",
"7860","VIOL 132","1","Applied Music: Violin","1","","Lab","","","ARR ","Zhang, Yun","4","Open",
