CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"7925","PHYS 151L","8R","Intermediate Physics-Lab","1","  AINW","Lab","W","0900-1145","LUTR 306","Fernandez, Jose","10","Open",
"7008","PHYS 152","1","Intermediate Physics","3","  AINW","Lec","MWF","1100-1150","FORBES 2070A","Brash, Edward","0","Closed",
"7018","PHYS 152L","1","Intermediate Physics - Lab","1","  AINW","Lab","M","1800-2045","LUTR 310","McHugh, Martin","3","Open",
"7020","PHYS 201","1M","General Physics","3","  AINW","Lec","MWF","0900-0950","LUTR 170","Cole, Leon","0","Closed",
"7021","PHYS 201","2M","General Physics","3","  AINW","Lec","TR","1330-1445","LUTR 170","Monaghan, Peter","0","Closed",
"7023","PHYS 201","3M","General Physics","3","  AINW","Lec","TR","1800-1915","LUTR 347","Monaghan, Peter","6","Open",
"7026","PHYS 201L","1R","General Physics Laboratory","1","  AINW","Lab","R","0930-1215","LUTR 310","Gore, David","8","Open",
"7027","PHYS 201L","2R","General Physics Laboratory","1","  AINW","Lab","R","1330-1615","LUTR 310","Cole, Leon","3","Open",
"7029","PHYS 201L","3R","General Physics Laboratory","1","  AINW","Lab","W","1800-2045","LUTR 310","Fernandez, Jose","1","Open",
"7030","PHYS 201L","4R","General Physics Laboratory","1","  AINW","Lab","R","1800-2045","LUTR 310","Granados, Carlos","11","Open",
"7025","PHYS 202","1","General Physics","3","  AINW","Lec","TR","0800-0915","LUTR 242","Cole, Leon","11","Open",
"7032","PHYS 303","1","General Physics","3","","Lec","TR","0800-0915","LUTR 269","Heddle, David","14","Open",
"7033","PHYS 304","1","Electrostatics","3","","Lec","TR","1100-1215","LUTR 323","DeJong, Anna","5","Open",
"7034","PHYS 340","1","Methods of Theoretical Physics","3","","Lec","MWF","0800-0850","LUTR 322","Heddle, David","5","Open",
"7035","PHYS 341","1","Design of Experiments","3","","Lec","MWF","1000-1050","LUTR 121","Fersch, Robert","6","Open",
"7036","PHYS 341","2","Design of Experiments","3","","Lec","MWF","1300-1350","LUTR 170","Fersch, Robert","18","Open",
"7037","PHYS 401","1","Adv Topics in Mechanics","3","","Lec","TR","1800-1915","LUTR 121","Gore, David","13","Open",
"7038","PHYS 421","1","System Design Lab-Data Acqistn","3","","Lec","MWF","1000-1050","FORBES 2074","Brash, Edward","7","Open",
"7065","PHYS 501","1","Models of Dynamical Systems","3","","Lec","TR","1800-1915","LUTR 121","Gore, David","9","Open",
"7067","PHYS 503","1","Data Acquisition/Instrmntation","3","","Lec","MWF","1000-1050","FORBES 2074","Brash, Edward","4","Open",
"7906","PIAN 133","1","Applied Music: Piano","2","","Lab","","","ARR ","Corbin, Benjamin","0","Closed",
"7456","PMED 010","1F","Pre-med Scholars Prgm Act I","0","","Fie","TR","1230-1320","FORBES 1022","Brown, Gwynne","6","Open",
"7457","PMED 020","1","Pre-med Scholars Prgm Act II","0","","Fie","TR","1230-1320","FORBES 1022","Brown, Gwynne","0","Closed",
"7458","PMED 030","1","Pre-med Scholars Prgm Act III","0","","Fie","TR","1230-1320","FORBES 1022","Brown, Gwynne","5","Open",
"7459","PMED 040","1","Pre-med Scholars Prgm Act IV","0","","Fie","TR","1230-1320","FORBES 1022","Brown, Gwynne","4","Open",
"6740","PSYC 201","1M","Inv Biol Bases of Beh &amp; Cogn","3","  AINW","Lec","MWF","0900-0950","MCM 101","Greenlee, Shelia","2","Open",
"6741","PSYC 201","2","Inv Biol Bases of Beh &amp; Cogn","3","  AINW","Lec","MWF","1300-1350","FORBES 1022","Gibbons, Jeffrey","5","Open",
"6742","PSYC 201","3R","Inv Biol Bases of Beh &amp; Cogn","3","  AINW","Lec","TR","1500-1615","FORBES 1022","Romito, Meredith","0","Closed",
"6743","PSYC 202","1M","Inv Socl Contxt of Beh &amp; Cogn","3","  AIII","Lec","TR","1330-1445","FORBES 1022","Marshall, Timothy","1","Open",
"6744","PSYC 202","2M","Inv Socl Contxt of Beh &amp; Cogn","3","  AIII","Lec","MWF","1500-1550","FORBES 1022","Mozo, Courtney","1","Open",
"6745","PSYC 207","1","Lifespan Development","3","  AIII","Lec","TR","1500-1615","FORBES 2070E","Frieden, Fredrick","4","Open",
"6746","PSYC 207","2","Lifespan Development","3","  AIII","Lec","TR","1630-1745","FORBES 2070E","Frieden, Fredrick","11","Open",
"6747","PSYC 208","1R","Child Development","3","  AIII","Lec","MWF","0800-0850","FORBES 2070E","Greenlee, Shelia","5","Open",
"6748","PSYC 208","2M","Child Development","3","  AIII","Lec","MWF","1100-1150","FORBES 2070D","Greenlee, Shelia","0","Closed",
"6749","PSYC 208","3M","Child Development","3","  AIII","Lec","MW","1600-1715","FORBES 2074","Mozo, Courtney","1","Open",
"6750","PSYC 208","4R","Child Development","3","  AIII","Lec","W","1600-1845","FORBES 2015","Jarvis, Patricia","13","Open",
"6751","PSYC 208","5","Child Development","3","  AIII","Lec","MW","2100-2215","FORBES 2015","Sulzberger, Robert","1","Open",
"6752","PSYC 300","1","Statistical Appl-Soc Sci Rsrch","3","  AIIF","Lec","MWF","1300-1350","FORBES 2090","Niehaus, Jeffrey","0","Closed",
"6753","PSYC 300","2","Statistical Appl-Soc Sci Rsrch","3","  AIIF","Lec","TR","1330-1445","FORBES 2090","Antaramian, Susan","0","Closed",
"6754","PSYC 300","3","Statistical Appl-Soc Sci Rsrch","3","  AIIF","Lec","TR","1100-1215","FORBES 2090","Antaramian, Susan","0","Closed",
"6755","PSYC 301","W1","WI:Research Mthds in Psych","3","  WI","Lec","TR","1500-1615","FORBES 2009","Berry, Thomas","9","Open",
"6756","PSYC 301","W2","WI:Research Mthds in Psych","3","  WI","Lec","MWF","0900-0950","FORBES 2090","Belmonte, Courtney Jane","0","Closed",
"6757","PSYC 301","W3","WI:Research Mthds in Psych","3","  WI","Lec","TR","0800-0915","FORBES 2014","Lange, Michelle","1","Open",
"6758","PSYC 301","W4","WI:Research Mthds in Psych","3","  WI","Lec","MWF","1100-1150","FORBES 2009","Pressley, Timothy","1","Open",
"6759","PSYC 301","W5","WI:Research Mthds in Psych","3","  WI","Lec","MWF","1200-1250","FORBES 2014","Catanzaro, Diane","3","Open",
"6760","PSYC 301L","1","Research Methods Laboratory","1","","Lab","TR","1630-1715","FORBES 2088","Berry, Thomas","9","Open",
"6761","PSYC 301L","2","Research Methods Laboratory","1","","Lab","MWF","1000-1050","FORBES 2090","Belmonte, Courtney Jane","0","Closed",
"6762","PSYC 301L","3","Research Methods Laboratory","1","","Lab","TR","0930-1045","FORBES 2012","Clark, Michelle","1","Open",
"6763","PSYC 301L","4","Research Methods Laboratory","1","","Lab","MWF","1200-1250","FORBES 2009","Pressley, Timothy","1","Open",
"6764","PSYC 301L","5","Research Methods Laboratory","1","","Lab","MWF","1300-1350","FORBES 2014","Catanzaro, Diane","3","Open",
"6765","PSYC 304","1","Social Psychology","3","","Lec","TR","1500-1615","FORBES 2070D","Hart, Jason","0","Closed",
"6766","PSYC 306","1","History and Systems of Psych","3","","Lec","MWF","0900-0950","FORBES 2070D","Doolittle, Dorothy","0","Closed",
"6767","PSYC 306","2","History and Systems of Psych","3","","Lec","MWF","1000-1050","FORBES 2070D","Doolittle, Dorothy","0","Closed",
"6768","PSYC 312","1","Educational Psychology","3","","Lec","MW","1800-1915","FORBES 2070E","Sulzberger, Robert","0","Closed",
"6769","PSYC 312","2","Educational Psychology","3","","Lec","MW","1930-2045","FORBES 2015","Sulzberger, Robert","1","Open",
"6770","PSYC 312","3","Educational Psychology","3","","Lec","MWF","1400-1450","FORBES 2070E","Pressley, Timothy","0","Closed",
"6771","PSYC 314","1","Psychology of Personality","3","","Lec","TR","1100-1215","FORBES 2070A","Lee, Sherman","1","Open",
"6772","PSYC 314","2","Psychology of Personality","3","","Lec","TR","1330-1445","FORBES 2070A","Lee, Sherman","0","Closed",
"6773","PSYC 315","1","Psychology-Abnormal Behavior","3","","Lec","MWF","1200-1250","FORBES 2070E","Clark, Michelle","1","Open",
"6774","PSYC 315","2","Psychology-Abnormal Behavior","3","","Lec","MWF","1500-1550","FORBES 2070E","Clark, Michelle","2","Open",
"6775","PSYC 316","1","Cognitive Psychology","3","","Lec","MWF","1400-1450","FORBES 2070D","Lipatova, Olga","0","Closed",
"6776","PSYC 316","2","Cognitive Psychology","3","","Lec","MWF","1500-1550","FORBES 2070D","Belmonte, Courtney Jane","19","Open",
"6777","PSYC 333","1","Personnel Psychology","3","","Lec","MWF","1100-1150","FORBES 2070E","Catanzaro, Diane","3","Open",
"6778","PSYC 340","1","Adult Development and Aging","3","  AIII","Lec","TR","1100-1215","FORBES 3012","Riggins, Earl","24","Open",
"6779","PSYC 350","1","Forensic Psychology","3","","Lec","TR","1330-1445","FORBES 2015","Romito, Meredith","0","Closed",
"6780","PSYC 360","1","Evolutionary Psychology","3","","Lec","TR","1100-1215","FORBES 2074","Niehaus, Jeffrey","9","Open",
"6781","PSYC 360","2","Evolutionary Psychology","3","","Lec","TR","1500-1615","FORBES 2074","Niehaus, Jeffrey","18","Open",
"7752","PSYC 395","1","Sp Tpc: Enigmas of Memory","3","","Lec","TR","1500-1615","MCM 362","Campolattaro, Matthew; Hoag, Trevor","0","Closed",
"6782","PSYC 404","1","Biopsychology","3","","Lec","MWF","1000-1050","FORBES 2009","Campolattaro, Matthew","8","Open",
"6783","PSYC 404L","1","Biopsychology Lab","1","","Lab","W","1300-1545","FORBES 2009","Campolattaro, Matthew","8","Open",
"6784","PSYC 405","1","Motivation and Emotion","3","","Lec","MWF","1000-1050","FORBES 2070E","Hunter, Laurie","0","Closed",
"6785","PSYC 405L","1","Motivation and Emotion Lab","1","","Lab","MWF","0900-0950","FORBES 2002","Hunter, Laurie","0","Closed",
"6786","PSYC 405L","2","Motivation and Emotion Lab","1","","Lab","MWF","1100-1150","FORBES 2002","Hunter, Laurie","0","Closed",
"6787","PSYC 406","1","Sensation and Perception","3","","Lec","TR","1330-1445","FORBES 2002","Lipatova, Olga","0","Closed",
"6788","PSYC 406L","1","Sensation and Perception Lab","1","","Lab","TR","1500-1615","FORBES 2002","Lipatova, Olga","0","Closed",
"6789","PSYC 415","1","Comparative Psychology","3","","Lec","MWF","0900-0950","FORBES 2009","Velkey, Andrew","0","Closed",
"6790","PSYC 415L","1","Comparative Psychology Lab","1","","Lab","M","1300-1545","FORBES 2009","Velkey, Andrew","0","Closed",
"6791","PSYC 428","1","Cognitive Development","3","","Lec","TR","0930-1045","FORBES 2070E","Cartwright, Kelly","0","Closed",
"6792","PSYC 428L","1","Cognitive Development Lab","1","","Lab","TR","1100-1215","FORBES 2009","Cartwright, Kelly","0","Closed",
"6793","PSYC 428L","2","Cognitive Development Lab","1","","Lab","TR","1330-1445","FORBES 2009","Jarvis, Patricia","0","Closed",
"6794","PSYC 431","1","Psyc of Arch &amp; Ind Design","3","","Lec","",""," ","","0","Closed",
"6795","PSYC 431L","1","Psyc of Arch &amp; Ind Dsgn-Lab","1","","Lab","",""," ","","0","Closed",
"6796","PSYC 451","1","Adv Stat and Multivar Analysis","3","  AIIF","Lec","MWF","1100-1150","FORBES 2090","Marshall, Timothy","11","Open",
"6797","PSYC 451L","1","Adv Stat &amp; Multivar Anyls Lab","1","","Lab","MWF","1200-1250","FORBES 2090","Marshall, Timothy","11","Open",
"6798","PSYC 490","W1","WI: Senior Seminar in Psych","3","  WI","Lec","MWF","1200-1250","FORBES 2002","Doolittle, Dorothy","3","Open",
"6799","PSYC 490","W2","WI: Senior Seminar in Psych","3","  WI","Lec","MWF","1400-1450","FORBES 2088","Niehaus, Jeffrey","4","Open",
"6800","PSYC 490","W3","WI: Senior Seminar in Psych","3","  WI","Lec","W","1800-2045","FORBES 2012","Berry, Thomas","0","Closed",
"6801","PSYC 490","W4","WI: Senior Seminar in Psych","3","  WI","Lec","TR","1100-1215","FORBES 2002","Hart, Jason","0","Closed",
"6802","PSYC 495","1","Sp Tpc: Critical/Creative Thin","3","","Lec","MWF","1300-1350","FORBES 2002","Dow, Gayle","0","Closed",
"6803","PSYC 495L","1","Sp Tpc:Crit/Creat Think Lab","1","","Lab","MWF","1400-1450","FORBES 2002","Dow, Gayle","0","Closed",
"7996","PSYC 499","1","Ind St: Exec Function &amp; Readin","1 - 3","","Ind","","","ARR ","Cartwright, Kelly","0","Closed",
"8007","PSYC 499","2","Ind St: Terror Mgmt Theory","1 - 3","","Ind","","","ARR ","Hart, Jason","0","Closed",
"8008","PSYC 499","3","Ind St: Injury Pain Perception","1 - 3","","Ind","","","ARR ","Lipatova, Olga","0","Closed",
"6603","PSYC 521","1","Reading Acquisition &amp; Devlpmnt","3","","Lec","M","1900-2145","FORBES 2014","Savage, Donna","5","Open",
"6604","PSYC 521","2","Reading Acquisition &amp; Devlpmnt","3","","Lec","T","1630-1915","LUTR 352","Swords, Rachel Ann","2","Open",
"6605","PSYC 521L","1","Reading Acquisition &amp; Dev Lab","1","","Lab","T","0930-1130","ARR ","Powell, Linda","0","Closed",
"6606","PSYC 521L","2","Reading Acquisition &amp; Dev Lab","1","","Lab","R","0930-1130","ARR ","Powell, Linda","1","Open",
"6607","PSYC 535","1","Exceptional Learner","3","","Lec","M","1900-2145","FORBES 2070D","Lee, Sherman","0","Closed",
"6608","PSYC 535","2","Exceptional Learner","3","","Lec","R","1630-1915","FORBES 2015","Pressley, Timothy","0","Closed",
"6609","PSYC 544","1","Assessment of Learning","3","","Lec","M","1600-1845","FORBES 2012","Antaramian, Susan","1","Open",
"7288","RSTD 211","1M","Religions of the East","3","  AIGM","Lec","MWF","0900-0950","MCM 114","Curtis, Margaret","0","Closed",
"7292","RSTD 211","2R","Religions of the East","3","  AIGM","Lec","MWF","1000-1050","MCM 114","Curtis, Margaret","0","Closed",
"7296","RSTD 211","3M","Religions of the East","3","  AIGM","Lec","TR","0930-1045","MCM 262","Rose, Kenneth","0","Closed",
"7297","RSTD 211","4M","Religions of the East","3","  AIGM","Lec","TR","1100-1215","MCM 262","Rose, Kenneth","0","Closed",
"7298","RSTD 211","5M","Religions of the East","3","  AIGM","Lec","TR","1500-1615","MCM 262","Schweig, Graham","0","Closed",
"7299","RSTD 211","6M","Religions of the East","3","  AIGM","Lec","TR","1630-1745","MCM 262","Schweig, Graham","0","Closed",
"7300","RSTD 212","1R","Religions of the West","3","  AIWT","Lec","MWF","1200-1250","MCM 366","Thompson, John","0","Closed",
"7301","RSTD 212","2M","Religions of the West","3","  AIWT","Lec","MWF","1500-1550","MCM 212","Fallon, Kerry","4","Open",
"7302","RSTD 212","3M","Religions of the West","3","  AIWT","Lec","MWF","1500-1550","MCM 262","DeSarro-Raynal, Donna","5","Open",
"7303","RSTD 212","4M","Religions of the West","3","  AIWT","Lec","MW","1600-1715","MCM 212","Fallon, Kerry","0","Closed",
"7304","RSTD 212","5","Religions of the West","3","  AIWT","Lec","MWF","1400-1450","MCM 357","Strehle, Stephen","0","Closed",
"7305","RSTD 232","1R","The Vision of Christianity","3","  AIWT","Lec","MWF","1100-1150","MCM 357","Hutchinson, Dawn","0","Closed",
"7307","RSTD 236","1M","Sacred Comm, Sacred Journeys","3","  AIII  ","Lec","TR","1630-1745","MCM 114","Redick, Kip","3","Open",
"7312","RSTD 270","1M","The Vision of Islam","3","  AIGM","Lec","MWF","1400-1450","MCM 114","Timani, Hussam","6","Open",
"7315","RSTD 310","1","Myth, Symbol, Ritual","3","  AIII","Lec","MWF","1100-1150","MCM 366","Thompson, John","0","Closed",
"7320","RSTD 340","1","Mindfulness, Meditation, Happi","3","","Lec","W","1800-2045","MCM 310","Rose, Kenneth","0","Closed",
"7322","RSTD 362","2","New Testament","3","  AIWT","Lec","TR","0930-1045","MCM 364","Strehle, Stephen","0","Closed",
"7323","RSTD 491","1","Practicum/Internship","1 - 3","","Pra","","","ARR ","Redick, Kip","0","Closed",
"7888","RSTD 499","1","Ind St: Mon Mysticism &amp; Pilgra","1 - 3","","Ind","","","ARR ","Redick, Kip","0","Closed",
"7997","RSTD 499","2","Ind St: Am Christianity &amp; Secu","1 - 3","","Ind","","","ARR ","Redick, Kip","0","Closed",
"6633","SOCL 201","1M","Globalization and Society","3","  AIGM","Lec","TR","0800-0915","LUTR 264","Docka-Filipek, Danielle","1","Open",
"6634","SOCL 201","2","Globalization and Society","3","  AIGM","Lec","MWF","1400-1450","LUTR 139","McLean, Paul","0","Closed",
"6635","SOCL 201","3","Globalization and Society","3","  AIGM","Lec","MWF","1500-1550","LUTR 139","McLean, Paul","0","Closed",
"6636","SOCL 205","1","Identity, Community, and Indiv","3","  AIII","Lec","MWF","1300-1350","LUTR 167","Lewis, Michael","1","Open",
"6637","SOCL 205","2R","Identity, Community, and Indiv","3","  AIII","Lec","MWF","1400-1450","LUTR 170","Lewis, Michael","9","Open",
"6638","SOCL 205","3R","Identity, Community, and Indiv","3","  AIII","Lec","TR","1330-1445","LUTR 167","Orr, Rebekah","1","Open",
"6639","SOCL 205","4","Identity, Community, and Indiv","3","  AIII","Lec","TR","1500-1615","LUTR 167","Orr, Rebekah","0","Closed",
"6640","SOCL 205","5R","Identity, Community, and Indiv","3","  AIII","Lec","TR","1330-1445","FORBES 2074","Waldron, Linda","1","Open",
"7898","SOCL 205","6","Identity, Community, and Indiv","3","  AIII","Lec","MWF","1100-1150","LUTR 167","Lewis, Michael","1","Open",
"6641","SOCL 215","1","Media and Crime","3","  AIII","Lec","MWF","1200-1250","LUTR 142","Gautam, Rana","0","Closed",
"6642","SOCL 215","2","Media and Crime","3","  AIII","Lec","MWF","1300-1350","LUTR 142","Gautam, Rana","1","Open",
"6643","SOCL 301","W1","WI:  Sociological Theory","3","  WI","Lec","TR","1330-1445","LUTR 111","Randolph, Antonia","0","Closed",
"6644","SOCL 301","W2","WI:  Sociological Theory","3","  WI","Lec","TR","1500-1615","LUTR 111","Randolph, Antonia","0","Closed",
"6645","SOCL 304","1","Socialization and Society","3","","Lec","MW","1600-1715","LUTR 137","Orr, Rebekah","0","Closed",
"6646","SOCL 304","2","Socialization and Society","3","","Lec","MW","1800-1915","LUTR 137","Orr, Rebekah","1","Open",
"6647","SOCL 306","1","Social Psychology","3","","Lec","TR","1500-1615","FORBES 2070D","Hart, Jason","0","Closed",
